Epoch,Train_Loss,Train_ACC,Train_ASR,Train_R-ACC,Test_Loss_cl,Test_ACC,Test_Loss_bd,Test_ASR,Test_R-ACC
Epoch,Train_Loss,Train_ACC,Train_ASR,Train_R-ACC,Test_Loss_cl,Test_ACC,Test_Loss_bd,Test_ASR,Test_R-ACC
Epoch,Train_Loss,Train_ACC,Train_ASR,Train_R-ACC,Test_Loss_cl,Test_ACC,Test_Loss_bd,Test_ASR,Test_R-ACC
Epoch,Train_Loss,Train_ACC,Train_ASR,Train_R-ACC,Test_Loss_cl,Test_ACC,Test_Loss_bd,Test_ASR,Test_R-ACC
0,1.5469614247531842,44.46799850463867,70.13333129882812,38.492000579833984,1.2875250729037002,54.29999923706055,0.8745598482414031,69.80000305175781,5.9666666984558105
1,1.1136168067717491,60.615997314453125,81.77777862548828,53.58599853515625,1.0971741785465832,61.011112213134766,0.6989910938370396,77.35555267333984,5.777777671813965
2,0.9106681464273302,67.93799591064453,91.17778015136719,59.93000030517578,0.915986481686713,68.18888854980469,0.9281367080312379,69.11111450195312,7.155555725097656
3,0.7760052688591316,72.74199676513672,93.11111450195312,64.56800079345703,0.8338257418551915,71.22222137451172,2.3704908784006684,34.233333587646484,18.488889694213867
4,0.6753203735479614,76.71399688720703,98.15555572509766,67.95399475097656,0.8637620193857543,70.77777862548828,0.48013823301019803,86.0111083984375,3.8111112117767334
5,0.6125419959997582,78.67399597167969,98.33333587646484,69.88999938964844,1.0542129714724044,67.27777862548828,0.013318140103775208,99.63333129882812,0.13333334028720856
6,0.5719146851993278,80.0999984741211,97.80000305175781,71.3759994506836,0.6724525555758409,76.46666717529297,0.1798142724683587,94.31111145019531,2.055555582046509
7,0.5200379836894667,81.93199920654297,98.84444427490234,73.0739974975586,0.81114292396626,73.5,0.05319254546308182,98.34444427490234,0.6222222447395325
8,0.49861455390520415,82.75799560546875,98.04444885253906,74.0,0.6392098169931224,78.5,0.12489674618126641,95.8888931274414,1.4222222566604614
9,0.46835947090097707,83.66999816894531,99.17778015136719,74.7760009765625,0.654650585752138,77.71111297607422,0.004110548852520264,99.87777709960938,0.0555555559694767
10,0.44417880860435993,84.75799560546875,98.97777557373047,75.89799499511719,0.6488031001997666,78.0888900756836,0.007171052902802484,99.82221984863281,0.06666667014360428
11,0.4250155278788808,85.19400024414062,99.26667022705078,76.28799438476562,1.3224798130317472,69.93333435058594,0.0926744199003762,97.5,0.9777777791023254
12,0.4101571155631024,85.86399841308594,98.62222290039062,77.02799987792969,0.5176430495691972,82.85555267333984,0.03744345720083466,99.05555725097656,0.41111111640930176
13,0.39004848085705884,86.66799926757812,98.64444732666016,77.83200073242188,0.557534653955782,81.3888931274414,0.7783908365477978,75.97777557373047,10.877778053283691
14,0.37093970625449324,87.11599731445312,99.31111145019531,78.21199798583984,0.5513108414663396,82.22222137451172,0.1280876593270772,96.06666564941406,1.888888955116272
15,0.354669485517475,87.58799743652344,99.5777816772461,78.63999938964844,0.4844942659559384,83.22222137451172,0.004490104979736251,99.84444427490234,0.07777778059244156
16,0.34358293111519433,88.12799835205078,99.31111145019531,79.20800018310547,0.5240041517036061,82.26667022705078,0.014974246073750332,99.55555725097656,0.1666666716337204
17,0.33346366325912574,88.3740005493164,99.37777709960938,79.45399475097656,0.5299137083577438,82.36666870117188,0.025454202704590707,99.27777862548828,0.31111112236976624
18,0.3278997913574624,88.55400085449219,99.04444885253906,79.68199920654297,0.5069467093743069,83.32221984863281,0.43578790002305745,86.9000015258789,4.47777795791626
19,0.330931522123649,88.6240005493164,98.15555572509766,79.85599517822266,0.46255275984884986,84.3888931274414,0.3339895400362955,90.61111450195312,3.866666793823242
20,0.22368933813041433,92.43599700927734,99.86666870117188,83.45399475097656,0.35960050053159953,87.9000015258789,0.0019198785486596662,99.93333435058594,0.0555555559694767
21,0.1889107217226187,93.53399658203125,99.84444427490234,84.55799865722656,0.3673912752682055,87.85556030273438,0.0006997819988536206,99.96666717529297,0.02222222276031971
22,0.17804413702329405,93.89799499511719,99.9111099243164,84.91199493408203,0.3544597648818728,88.42222595214844,0.0014905614709124152,99.94444274902344,0.04444444552063942
23,0.16891370949042422,94.15599822998047,99.84444427490234,85.17599487304688,0.3525331914424896,88.54444885253906,0.0011779677015126677,99.95555877685547,0.03333333507180214
24,0.16094358661747954,94.38399505615234,99.8888931274414,85.4020004272461,0.35048301916726876,88.56666564941406,0.0009106032759493093,99.97777557373047,0.02222222276031971
25,0.15547390418398715,94.57599639892578,99.93333435058594,85.58399963378906,0.35144073526624225,88.73333740234375,0.0022026488223788657,99.94444274902344,0.04444444552063942
26,0.15231393545370578,94.70800018310547,99.8888931274414,85.72200012207031,0.35143583047557886,88.8888931274414,0.0018088958055210548,99.95555877685547,0.04444444552063942
27,0.14608911115228368,94.95399475097656,99.8888931274414,85.97200012207031,0.3513392069390122,89.02222442626953,0.0009484758603564484,99.97777557373047,0.02222222276031971
28,0.1421618664070316,95.11799621582031,99.86666870117188,86.13600158691406,0.3507045780269193,88.77777862548828,0.0011018640385808678,99.97777557373047,0.02222222276031971
29,0.13520851135825562,95.35599517822266,99.86666870117188,86.37799835205078,0.3533021860139471,88.8888931274414,0.0014116758087971313,99.97777557373047,0.02222222276031971
30,0.13170507835114703,95.39599609375,99.8888931274414,86.41199493408203,0.3500181583451553,89.35556030273438,0.001689777945448697,99.96666717529297,0.02222222276031971
31,0.13015150745658924,95.4739990234375,99.97777557373047,86.47799682617188,0.35466958792276787,89.06666564941406,0.0014915031835545038,99.96666717529297,0.03333333507180214
32,0.12584202710891623,95.6199951171875,99.8888931274414,86.63399505615234,0.3686046797624776,88.68888854980469,0.0005935034451782408,99.97777557373047,0.02222222276031971
33,0.12105395245696883,95.81999969482422,99.8888931274414,86.83599853515625,0.3658052842381974,88.93333435058594,0.0015668397545724334,99.95555877685547,0.03333333507180214
34,0.1189907977209829,95.86399841308594,99.97777557373047,86.86799621582031,0.36955857948518134,88.81111145019531,0.0004234930818993106,99.9888916015625,0.011111111380159855
35,0.1153604647387629,96.06399536132812,99.93333435058594,87.0739974975586,0.36955387680463386,88.82221984863281,0.0005320404056938444,99.97777557373047,0.02222222276031971
36,0.11132607453733759,96.07599639892578,99.95555877685547,87.07999420166016,0.3726590544405118,88.83333587646484,0.0014511959714992102,99.95555877685547,0.03333333507180214
37,0.10913853581680362,96.20399475097656,99.9111099243164,87.21599578857422,0.36815976970632314,89.0111083984375,0.002104747106245732,99.95555877685547,0.03333333507180214
38,0.10544714669380194,96.41399383544922,99.93333435058594,87.42599487304688,0.3690952709023382,89.12222290039062,0.0010823632997721368,99.95555877685547,0.03333333507180214
39,0.1031039848475886,96.5219955444336,99.93333435058594,87.53199768066406,0.37701583160480984,89.11111450195312,0.0013301597351067318,99.94444274902344,0.04444444552063942
40,0.10122840954919758,96.56399536132812,99.97777557373047,87.56599426269531,0.37215249093485553,89.0,0.001580437846788415,99.95555877685547,0.03333333507180214
41,0.0967483522079866,96.69400024414062,99.93333435058594,87.70399475097656,0.37521233588037356,88.86666870117188,0.0028753224071639944,99.93333435058594,0.0555555559694767
42,0.09464785651496761,96.68399810791016,99.95555877685547,87.68799591064453,0.3810812236977295,88.87777709960938,0.001131651627718025,99.96666717529297,0.03333333507180214
43,0.09271454339003776,96.71599578857422,99.95555877685547,87.72200012207031,0.38447291498452846,89.0111083984375,0.0014696046095144686,99.96666717529297,0.02222222276031971
44,0.09202260078142976,96.67799377441406,99.9111099243164,87.68799591064453,0.3827757098725144,89.35556030273438,0.0014268483621852053,99.96666717529297,0.02222222276031971
45,0.08908867129527243,96.94999694824219,99.95555877685547,87.95600128173828,0.3944710501482789,88.81111145019531,0.0018555156597178954,99.92222595214844,0.06666667014360428
46,0.08580907506634818,97.05999755859375,99.95555877685547,88.06599426269531,0.3894432264734322,89.0,0.0015601263251188407,99.95555877685547,0.03333333507180214
47,0.08309764430508056,97.16399383544922,99.9111099243164,88.1780014038086,0.4004135377390284,88.77777862548828,0.0014887324201917065,99.95555877685547,0.03333333507180214
48,0.08248970780016669,97.2179946899414,99.93333435058594,88.22799682617188,0.3991069021359296,88.87777709960938,0.0024627788813414157,99.94444274902344,0.04444444552063942
49,0.07827847998093843,97.3740005493164,99.97777557373047,88.3759994506836,0.39745297755154085,88.94444274902344,0.002312206108066496,99.93333435058594,0.0555555559694767
50,0.07347645091793269,97.50999450683594,99.95555877685547,88.51599884033203,0.390450419674457,89.05555725097656,0.0016336322123222512,99.94444274902344,0.04444444552063942
51,0.0717250434896144,97.52799987792969,99.93333435058594,88.53599548339844,0.39381405144510134,88.85556030273438,0.0015069105937867097,99.95555877685547,0.03333333507180214
52,0.06871440242785398,97.64399719238281,99.93333435058594,88.65399932861328,0.38882112293176246,89.0999984741211,0.0018293605566034618,99.95555877685547,0.03333333507180214
53,0.06778488052375328,97.63399505615234,99.93333435058594,88.64399719238281,0.3870435655117035,89.21111297607422,0.002233789023462827,99.94444274902344,0.04444444552063942
54,0.06892294623672277,97.6719970703125,99.97777557373047,88.67599487304688,0.38913589212256416,89.17778015136719,0.0021188713824966737,99.95555877685547,0.03333333507180214
55,0.06809581843350092,97.7459945678711,99.8888931274414,88.76200103759766,0.3917716367983482,89.18888854980469,0.0014548467502529196,99.95555877685547,0.03333333507180214
56,0.06730719336101314,97.69200134277344,99.95555877685547,88.69999694824219,0.39049199727219597,89.23333740234375,0.0015323969757292603,99.95555877685547,0.03333333507180214
57,0.06750593770085775,97.7239990234375,99.95555877685547,88.72999572753906,0.3934745116972587,89.15555572509766,0.0010314678434490776,99.96666717529297,0.02222222276031971
58,0.06521640483127988,97.78599548339844,99.86666870117188,88.80599975585938,0.3950841544379651,89.16666412353516,0.0011333017168332115,99.96666717529297,0.02222222276031971
59,0.06709294925536723,97.73799896240234,99.97777557373047,88.73999786376953,0.39080625100874566,89.24444580078125,0.0019848405565528696,99.95555877685547,0.03333333507180214
