Epoch,Train_Loss,Train_ACC,Train_ASR,Train_R-ACC,Test_Loss_cl,Test_ACC,Test_Loss_bd,Test_ASR,Test_R-ACC
0,2.1465040183128297,25.326000213623047,80.73333740234375,18.371999740600586,1.6286110508609826,38.21111297607422,0.9096303321945836,68.67778015136719,8.911110877990723
1,1.3691846830460725,49.779998779296875,97.71111297607422,41.04199981689453,1.3939982367233492,49.27777862548828,0.00018742883179917222,100.0,0.0
2,1.082240148426017,61.137996673583984,99.51111602783203,52.20399856567383,1.1091634077085575,60.833335876464844,0.001142569734361452,99.95555877685547,0.03333333507180214
3,0.9321273402179904,66.84199523925781,99.62222290039062,57.89799880981445,1.0099276027209323,65.16666412353516,0.0005221836075941635,99.97777557373047,0.02222222276031971
4,0.8358679743069212,70.68000030517578,99.5777816772461,61.75,1.3102220615870517,57.588890075683594,3.6745454908477866e-06,100.0,0.0
5,0.7514314753625094,73.72999572753906,99.42222595214844,64.81199645996094,0.9068222927375579,68.37777709960938,0.1619701271640583,95.0999984741211,1.7333333492279053
6,0.6847888991198576,76.38999938964844,99.4888916015625,67.4739990234375,0.8678091789635134,70.63333129882812,7.68269986360472e-06,100.0,0.0
7,0.6424988396942158,77.76200103759766,99.66666412353516,68.80799865722656,0.8687675821949059,70.42222595214844,0.00013497877568118986,100.0,0.0
8,0.6151159245644688,79.06999969482422,99.64444732666016,70.1240005493164,0.8896030431062403,71.75555419921875,0.001618375416897757,99.95555877685547,0.02222222276031971
9,0.6013979343959438,79.44599914550781,99.68888854980469,70.49800109863281,0.7603090271143846,74.27777862548828,0.018995624060191636,99.44444274902344,0.3777777850627899
10,0.5743105591410567,80.32799530029297,99.75555419921875,71.36000061035156,0.787224744407224,73.23333740234375,0.16324568539857864,95.3888931274414,3.5444445610046387
11,0.558185532727205,81.14599609375,99.5777816772461,72.21599578857422,0.6977392938775075,76.5777816772461,0.04784068576729213,98.61111450195312,0.8222222328186035
12,0.5450172107237989,81.30999755859375,99.66666412353516,72.36000061035156,0.7673751997276091,75.14444732666016,0.0002367893309886146,99.9888916015625,0.0
13,0.5393440511525439,81.66600036621094,99.77777862548828,72.69999694824219,0.6933627351069115,77.47777557373047,5.94441044835322e-07,100.0,0.0
14,0.5247600747038946,81.94999694824219,99.80000305175781,72.98199462890625,0.7710621566839622,74.44444274902344,8.088570811337312e-05,100.0,0.0
15,0.516896215088837,82.34600067138672,99.77777862548828,73.38399505615234,0.9175990408575031,70.72222137451172,0.0013477296227610565,99.96666717529297,0.02222222276031971
16,0.5108358944620928,82.60800170898438,99.75555419921875,73.64399719238281,0.7873677090859749,74.83333587646484,5.1410424526262905e-08,100.0,0.0
17,0.5071116679769647,82.56999969482422,99.75555419921875,73.60599517822266,0.6467145332987879,78.0888900756836,0.0043207461696485394,99.96666717529297,0.02222222276031971
18,0.49169729097419995,83.24800109863281,99.80000305175781,74.27999877929688,0.785851238479077,73.81111145019531,0.003157492290278831,99.92222595214844,0.06666667014360428
19,0.498380442790668,83.30999755859375,99.66666412353516,74.36199951171875,0.7283487815252492,77.13333129882812,0.01424462564000991,99.72222137451172,0.24444444477558136
20,0.33386076720016994,88.69599914550781,99.9111099243164,79.70800018310547,0.389214125737338,87.04444885253906,0.00046364583669830455,99.9888916015625,0.0
21,0.28221370348387664,90.42599487304688,99.95555877685547,81.43399810791016,0.38185946538414756,87.36666870117188,0.000142241747864677,100.0,0.0
22,0.25708418815870726,91.22200012207031,99.95555877685547,82.22799682617188,0.36105400743618815,88.15555572509766,6.218684180746262e-05,100.0,0.0
23,0.24382834424219474,91.57799530029297,99.9111099243164,82.593994140625,0.35407306253910065,88.36666870117188,8.00356992071947e-05,100.0,0.0
24,0.22894633892933122,92.15799713134766,99.97777557373047,83.16199493408203,0.34594025662247563,88.5999984741211,3.686163220241007e-05,100.0,0.0
25,0.22364452908106167,92.31199645996094,100.0,83.31199645996094,0.3428439739304529,88.54444885253906,0.00018354805541375625,100.0,0.0
26,0.2136051382326409,92.69200134277344,100.0,83.69200134277344,0.3434172828852291,88.64444732666016,0.00010988992375465566,100.0,0.0
27,0.19951273600006347,93.11199951171875,100.0,84.11199951171875,0.33457053022485383,89.32221984863281,2.818142491403859e-05,100.0,0.0
28,0.19266696636329222,93.36399841308594,99.93333435058594,84.3759994506836,0.34360795300191554,88.66666412353516,7.295500534024208e-05,100.0,0.0
29,0.18224090401588194,93.7979965209961,100.0,84.7979965209961,0.33110406428155764,89.33333587646484,0.0001829126383494389,100.0,0.0
30,0.1762143307653687,93.95199584960938,99.97777557373047,84.95600128173828,0.33613383350237996,89.0777816772461,0.00019438249477337797,100.0,0.0
31,0.1726761693158723,93.98400115966797,99.97777557373047,84.98600006103516,0.33732230079845643,88.93333435058594,9.288991588593336e-05,100.0,0.0
32,0.16407367535640516,94.47000122070312,99.95555877685547,85.47799682617188,0.3434902167236301,88.66666412353516,4.682563772342253e-05,100.0,0.0
33,0.16154692197204246,94.43199920654297,99.95555877685547,85.43999481201172,0.335312340670908,89.02222442626953,0.00024235518001557762,100.0,0.0
34,0.15310812038381386,94.80599975585938,99.97777557373047,85.80999755859375,0.3499983421093981,88.9000015258789,5.6382482411285774e-05,100.0,0.0
35,0.14407751042291025,95.02999877929688,99.95555877685547,86.03599548339844,0.32946165640589214,89.77777862548828,4.525103678377132e-05,100.0,0.0
36,0.14022210435679808,95.12799835205078,99.9111099243164,86.14399719238281,0.35238590815537413,89.13333129882812,8.57401322155312e-05,100.0,0.0
